id,lng,lat,time,v
Aotizhongxin,116.397,39.982,3/31/17 11:00,210
Badaling,115.988,40.365,3/31/17 11:00,3
Beibuxinqu,116.174,40.09,3/31/17 11:00,215
Daxing,116.404,39.718,3/31/17 11:00,183
Dingling,116.22,40.292,3/31/17 11:00,222
Donggaocun,117.12,40.1,3/31/17 11:00,205
Dongsihuan,116.483,39.939,3/31/17 11:00,205
Fangshan,116.136,39.742,3/31/17 11:00,229
Guanyuan,116.339,39.929,3/31/17 11:00,205
Gucheng,116.184,39.914,3/31/17 11:00,218
Huairou,116.628,40.328,3/31/17 11:00,251
Liulihe,116,39.58,3/31/17 11:00,249
Mentougou,116.106,39.937,3/31/17 11:00,266
Miyun,116.832,40.37,3/31/17 11:00,275
Miyunshuiku,116.911,40.499,3/31/17 11:00,231
Pingchang,116.23,40.217,3/31/17 11:00,228
Shunyi,116.655,40.127,3/31/17 11:00,252
Tongzhou,116.663,39.886,3/31/17 11:00,225
Wanliu,116.287,39.987,3/31/17 11:00,201
Yanqin,115.972,40.453,3/31/17 11:00,195
Yizhuang,116.506,39.795,3/31/17 11:00,235
Yongdingmennei,116.394,39.876,3/31/17 11:00,206
Yongledian,116.783,39.712,3/31/17 11:00,240
Yufa,116.3,39.52,3/31/17 11:00,211
Yungang,116.146,39.824,3/31/17 11:00,221
Zhiwuyuan,116.207,40.002,3/31/17 11:00,211
